Ano;Unidade Geográfica;Localização;Dependência Administrativa;Total Aprovação no Ens. Fundamental;Total Aprovação Médio;Total  Aprovação Médio Não-Seriado;Total Reprovação no Ens. Fundamental;Total Reprovação no Ens. Médio;Total  Reprovação Médio Não-Seriado;Total Abandono no Ens. Fundamental;Total Abandono Médio;Total  Abandono Médio Não-Seriado;;;;;;;;;
2015;Sul;Rural;Particular;93,8;93,8;--;6,0;5,1;--;0,2;1,1;--;;;;;;;;;
2015;Centro-Oeste;Urbana;Pública;90,9;76,4;77,2;7,6;14,4;8,6;1,5;9,2;14,2;;;;;;;;;
2015;Centro-Oeste;Urbana;Federal;96,3;88,9;91,5;3,7;9,5;3,9;0,0;1,6;4,6;;;;;;;;;
2015;Centro-Oeste;Urbana;Estadual;89,0;76,1;62,3;9,0;14,5;13,6;2,0;9,4;24,1;;;;;;;;;
2015;Centro-Oeste;Urbana;Municipal;92,8;90,9;--;6,2;6,9;--;1,0;2,2;--;;;;;;;;;
2015;Centro-Oeste;Urbana;Particular;97,9;95,0;95,7;1,9;4,7;3,3;0,2;0,3;1,0;;;;;;;;;
2015;Centro-Oeste;Rural;Pública;90,5;77,5;74,9;7,7;12,5;11,2;1,8;10,0;13,9;;;;;;;;;
2015;Centro-Oeste;Rural;Federal;--;86,4;93,2;--;11,0;0,0;--;2,6;6,8;;;;;;;;;
2015;Centro-Oeste;Rural;Estadual;91,1;76,1;72,0;7,2;12,8;13,0;1,7;11,1;15,0;;;;;;;;;
2015;Centro-Oeste;Rural;Municipal;90,2;95,2;--;7,9;3,4;--;1,9;1,4;--;;;;;;;;;
2015;Centro-Oeste;Rural;Particular;98,0;96,3;--;1,6;2,8;--;0,4;0,9;--;;;;;;;;;
2015;Rondônia;Urbana;Pública;87,0;75,4;80,5;11,1;14,5;14,2;1,9;10,1;5,3;;;;;;;;;
2015;Rondônia;Urbana;Federal;--;87,6;--;--;10,7;--;--;1,7;--;;;;;;;;;
2015;Rondônia;Urbana;Estadual;84,4;74,9;80,5;13,3;14,7;14,2;2,3;10,4;5,3;;;;;;;;;
2015;Rondônia;Urbana;Municipal;90,7;--;--;8,0;--;--;1,3;--;--;;;;;;;;;
2015;Rondônia;Urbana;Particular;97,6;93,6;77,8;2,3;6,0;11,1;0,1;0,4;11,1;;;;;;;;;
2015;Rondônia;Rural;Pública;87,4;81,9;45,9;9,3;7,9;48,1;3,3;10,2;6,0;;;;;;;;;
2015;Rondônia;Rural;Federal;--;87,4;--;--;10,9;--;--;1,7;--;;;;;;;;;
2015;Rondônia;Rural;Estadual;84,7;80,4;45,9;9,0;7,1;48,1;6,3;12,5;6,0;;;;;;;;;
2015;Rondônia;Rural;Municipal;88,0;--;--;9,4;--;--;2,6;--;--;;;;;;;;;
2015;Rondônia;Rural;Particular;94,3;97,2;--;5,5;1,8;--;0,2;1,0;--;;;;;;;;;
2015;Acre;Urbana;Pública;92,7;77,3;--;5,7;12,3;--;1,6;10,4;--;;;;;;;;;
