Ano;Unidade Geográfica;Localização;Dependência Administrativa;Total Aprovação no Ens. Fundamental;Total Aprovação Médio;Total  Aprovação Médio Não-Seriado;Total Reprovação no Ens. Fundamental;Total Reprovação no Ens. Médio;Total  Reprovação Médio Não-Seriado;Total Abandono no Ens. Fundamental;Total Abandono Médio;Total  Abandono Médio Não-Seriado;;;;;;;;;
2015;Espírito Santo;Urbana;Federal;--;87,3;98,6;--;11,1;0,0;--;1,6;1,4;;;;;;;;;
2015;Espírito Santo;Urbana;Estadual;84,2;76,3;--;14,2;18,1;--;1,6;5,6;--;;;;;;;;;
2015;Espírito Santo;Urbana;Municipal;87,3;--;--;11,5;--;--;1,2;--;--;;;;;;;;;
2015;Espírito Santo;Urbana;Particular;97,7;94,9;--;2,3;4,9;--;0,0;0,2;--;;;;;;;;;
2015;Espírito Santo;Rural;Pública;90,4;87,5;85,7;8,8;8,3;7,1;0,8;4,2;7,2;;;;;;;;;
2015;Espírito Santo;Rural;Federal;--;91,9;85,7;--;6,9;7,1;--;1,2;7,2;;;;;;;;;
2015;Espírito Santo;Rural;Estadual;89,3;85,3;--;9,6;9,1;--;1,1;5,6;--;;;;;;;;;
2015;Espírito Santo;Rural;Municipal;90,6;95,9;--;8,7;1,4;--;0,7;2,7;--;;;;;;;;;
2015;Espírito Santo;Rural;Particular;91,7;95,2;--;6,6;3,4;--;1,7;1,4;--;;;;;;;;;
2015;Rio de Janeiro;Urbana;Pública;84,8;80,4;87,5;13,2;15,0;8,2;2,0;4,6;4,3;;;;;;;;;
2015;Rio de Janeiro;Urbana;Federal;92,2;86,7;85,6;7,7;11,5;10,7;0,1;1,8;3,7;;;;;;;;;
2015;Rio de Janeiro;Urbana;Estadual;80,7;80,2;89,2;17,1;15,1;6,0;2,2;4,7;4,8;;;;;;;;;
2015;Rio de Janeiro;Urbana;Municipal;85,5;80,0;--;12,6;15,1;--;1,9;4,9;--;;;;;;;;;
2015;Rio de Janeiro;Urbana;Particular;94,9;91,6;97,9;4,8;7,9;0,9;0,3;0,5;1,2;;;;;;;;;
2015;Rio de Janeiro;Rural;Pública;84,7;86,2;93,4;14,0;10,3;4,4;1,3;3,5;2,2;;;;;;;;;
2015;Rio de Janeiro;Rural;Federal;--;73,4;--;--;19,4;--;--;7,2;--;;;;;;;;;
2015;Rio de Janeiro;Rural;Estadual;82,2;86,8;93,4;16,0;9,9;4,4;1,8;3,3;2,2;;;;;;;;;
2015;Rio de Janeiro;Rural;Municipal;85,0;74,4;--;13,8;12,8;--;1,2;12,8;--;;;;;;;;;
2015;Rio de Janeiro;Rural;Particular;94,9;91,8;--;4,9;8,1;--;0,2;0,1;--;;;;;;;;;
2015;São Paulo;Urbana;Pública;95,2;85,9;84,1;4,0;10,4;13,3;0,8;3,7;2,6;;;;;;;;;
2015;São Paulo;Urbana;Federal;99,1;86,6;--;0,9;12,8;--;0,0;0,6;--;;;;;;;;;
2015;São Paulo;Urbana;Estadual;94,8;85,8;84,1;4,0;10,4;13,3;1,2;3,8;2,6;;;;;;;;;
2015;São Paulo;Urbana;Municipal;95,6;90,4;--;3,9;8,2;--;0,5;1,4;--;;;;;;;;;
2015;São Paulo;Urbana;Particular;98,0;96,0;95,8;2,0;3,9;4,1;0,0;0,1;0,1;;;;;;;;;
2015;São Paulo;Rural;Pública;95,9;94,1;85,1;3,8;4,1;12,9;0,3;1,8;2,0;;;;;;;;;
2015;São Paulo;Rural;Estadual;96,7;94,1;85,1;2,6;4,1;12,9;0,7;1,8;2,0;;;;;;;;;
2015;São Paulo;Rural;Municipal;95,6;95,4;--;4,2;2,9;--;0,2;1,7;--;;;;;;;;;
2015;São Paulo;Rural;Particular;96,7;93,4;--;3,3;6,2;--;0,0;0,4;--;;;;;;;;;
2015;Paraná;Urbana;Pública;90,4;78,7;84,0;8,1;12,3;4,9;1,5;9,0;11,1;;;;;;;;;
2015;Paraná;Urbana;Federal;97,5;88,1;84,0;2,5;7,7;4,9;0,0;4,2;11,1;;;;;;;;;
2015;Paraná;Urbana;Estadual;85,2;78,6;--;11,7;12,4;--;3,1;9,0;--;;;;;;;;;
2015;Paraná;Urbana;Municipal;94,7;--;--;5,2;--;--;0,1;--;--;;;;;;;;;
2015;Paraná;Urbana;Particular;97,9;96,4;--;2,1;3,3;--;0,0;0,3;--;;;;;;;;;
2015;Paraná;Rural;Pública;92,2;86,0;--;6,6;7,7;--;1,2;6,3;--;;;;;;;;;
2015;Paraná;Rural;Federal;--;97,5;--;--;2,5;--;--;0,0;--;;;;;;;;;
2015;Paraná;Rural;Estadual;89,6;85,9;--;7,8;7,7;--;2,6;6,4;--;;;;;;;;;
2015;Paraná;Rural;Municipal;93,9;--;--;5,8;--;--;0,3;--;--;;;;;;;;;
2015;Paraná;Rural;Particular;98,0;94,3;--;1,9;5,5;--;0,1;0,2;--;;;;;;;;;
2015;Santa Catarina;Urbana;Pública;92,3;77,0;93,3;7,1;14,2;4,5;0,6;8,8;2,2;;;;;;;;;
2015;Santa Catarina;Urbana;Federal;92,7;87,4;95,1;7,0;11,2;3,8;0,3;1,4;1,1;;;;;;;;;
2015;Santa Catarina;Urbana;Estadual;89,7;76,6;75,0;9,5;14,4;11,1;0,8;9,0;13,9;;;;;;;;;
2015;Santa Catarina;Urbana;Municipal;94,2;88,5;--;5,3;7,0;--;0,5;4,5;--;;;;;;;;;
2015;Santa Catarina;Urbana;Particular;98,4;95,4;94,4;1,5;4,3;5,6;0,1;0,3;0,0;;;;;;;;;
2015;Santa Catarina;Rural;Pública;95,0;86,7;--;4,6;8,2;--;0,4;5,1;--;;;;;;;;;
2015;Santa Catarina;Rural;Federal;--;88,7;--;--;9,5;--;--;1,8;--;;;;;;;;;
2015;Santa Catarina;Rural;Estadual;92,8;86,5;--;6,4;8,0;--;0,8;5,5;--;;;;;;;;;
2015;Santa Catarina;Rural;Municipal;95,9;85,6;--;3,8;7,2;--;0,3;7,2;--;;;;;;;;;
2015;Santa Catarina;Rural;Particular;87,5;98,6;--;12,5;1,4;--;0,0;0,0;--;;;;;;;;;
2015;Rio Grande do Sul;Urbana;Pública;85,7;73,0;85,4;13,1;18,9;9,6;1,2;8,1;5,0;;;;;;;;;
2015;Rio Grande do Sul;Urbana;Federal;95,8;84,5;87,9;4,2;12,4;5,4;0,0;3,1;6,7;;;;;;;;;
2015;Rio Grande do Sul;Urbana;Estadual;83,8;72,8;83,2;15,0;19,1;15,4;1,2;8,1;1,4;;;;;;;;;
2015;Rio Grande do Sul;Urbana;Municipal;87,4;65,8;86,5;11,4;21,1;2,4;1,2;13,1;11,1;;;;;;;;;
2015;Rio Grande do Sul;Urbana;Particular;97,3;92,8;73,8;2,6;6,9;4,1;0,1;0,3;22,1;;;;;;;;;
2015;Rio Grande do Sul;Rural;Pública;89,6;81,4;97,1;9,2;12,8;0,4;1,2;5,8;2,5;;;;;;;;;
2015;Rio Grande do Sul;Rural;Federal;--;86,0;99,4;--;12,3;0,0;--;1,7;0,6;;;;;;;;;
2015;Rio Grande do Sul;Rural;Estadual;87,9;80,1;93,2;10,3;13,2;1,1;1,8;6,7;5,7;;;;;;;;;
2015;Rio Grande do Sul;Rural;Municipal;90,3;85,0;--;8,7;6,5;--;1,0;8,5;--;;;;;;;;;
2015;Rio Grande do Sul;Rural;Particular;88,6;90,9;--;11,0;6,2;--;0,4;2,9;--;;;;;;;;;
2015;Mato Grosso do Sul;Urbana;Pública;85,7;73,7;91,6;12,4;16,2;3,8;1,9;10,1;4,6;;;;;;;;;
2015;Mato Grosso do Sul;Urbana;Federal;94,3;91,6;91,5;5,7;5,0;3,9;0,0;3,4;4,6;;;;;;;;;
2015;Mato Grosso do Sul;Urbana;Estadual;80,9;73,3;94,4;15,7;16,5;0,0;3,4;10,2;5,6;;;;;;;;;
2015;Mato Grosso do Sul;Urbana;Municipal;88,8;--;--;10,3;--;--;0,9;--;--;;;;;;;;;
2015;Mato Grosso do Sul;Urbana;Particular;97,5;94,8;--;2,4;5,0;--;0,1;0,2;--;;;;;;;;;
2015;Mato Grosso do Sul;Rural;Pública;83,8;80,0;93,2;13,5;11,7;0,0;2,7;8,3;6,8;;;;;;;;;
2015;Mato Grosso do Sul;Rural;Federal;--;93,2;93,2;--;0,0;0,0;--;6,8;6,8;;;;;;;;;
2015;Mato Grosso do Sul;Rural;Estadual;84,8;78,4;--;12,2;12,9;--;3,0;8,7;--;;;;;;;;;
2015;Mato Grosso do Sul;Rural;Municipal;83,6;93,9;--;13,8;6,1;--;2,6;0,0;--;;;;;;;;;
2015;Mato Grosso do Sul;Rural;Particular;98,7;95,6;--;1,3;3,3;--;0,0;1,1;--;;;;;;;;;
2015;Mato Grosso;Urbana;Pública;96,7;64,7;61,1;2,8;20,5;13,8;0,5;14,8;25,1;;;;;;;;;
2015;Mato Grosso;Urbana;Federal;--;91,8;--;--;7,1;--;--;1,1;--;;;;;;;;;
2015;Mato Grosso;Urbana;Estadual;97,1;64,1;61,1;2,3;20,8;13,8;0,6;15,1;25,1;;;;;;;;;
2015;Mato Grosso;Urbana;Municipal;96,3;--;--;3,3;--;--;0,4;--;--;;;;;;;;;
2015;Mato Grosso;Urbana;Particular;98,4;96,0;--;1,5;3,7;--;0,1;0,3;--;;;;;;;;;
2015;Mato Grosso;Rural;Pública;95,7;73,4;72,0;2,7;13,8;13,0;1,6;12,8;15,0;;;;;;;;;
2015;Mato Grosso;Rural;Federal;--;84,2;--;--;14,3;--;--;1,5;--;;;;;;;;;
2015;Mato Grosso;Rural;Estadual;97,2;72,4;72,0;1,3;13,8;13,0;1,5;13,8;15,0;;;;;;;;;
2015;Mato Grosso;Rural;Municipal;95,1;97,8;--;3,4;0,7;--;1,5;1,5;--;;;;;;;;;
2015;Mato Grosso;Rural;Particular;100,0;91,7;--;0,0;4,2;--;0,0;4,1;--;;;;;;;;;
2015;Goiás;Urbana;Pública;92,5;83,9;--;5,9;9,1;--;1,6;7,0;--;;;;;;;;;
2015;Goiás;Urbana;Federal;92,9;84,2;--;7,1;14,4;--;0,0;1,4;--;;;;;;;;;
2015;Goiás;Urbana;Estadual;91,1;83,9;--;6,6;9,1;--;2,3;7,0;--;;;;;;;;;
2015;Goiás;Urbana;Municipal;93,3;90,9;--;5,6;6,9;--;1,1;2,2;--;;;;;;;;;
2015;Goiás;Urbana;Particular;97,8;94,8;95,7;1,9;4,6;3,3;0,3;0,6;1,0;;;;;;;;;
2015;Goiás;Rural;Pública;91,3;89,7;--;7,2;6,8;--;1,5;3,5;--;;;;;;;;;
2015;Goiás;Rural;Federal;--;89,7;--;--;8,6;--;--;1,7;--;;;;;;;;;
2015;Goiás;Rural;Estadual;91,2;89,6;--;6,4;6,0;--;2,4;4,4;--;;;;;;;;;
2015;Goiás;Rural;Municipal;91,3;91,7;--;7,3;5,0;--;1,4;3,3;--;;;;;;;;;
2015;Goiás;Rural;Particular;96,1;95,6;--;3,0;3,3;--;0,9;1,1;--;;;;;;;;;
2015;Distrito Federal;Urbana;Pública;85,6;77,7;71,4;12,4;17,0;28,6;2,0;5,3;0,0;;;;;;;;;
2015;Distrito Federal;Urbana;Federal;98,7;91,9;--;1,3;7,5;--;0,0;0,6;--;;;;;;;;;
2015;Distrito Federal;Urbana;Estadual;85,6;77,4;71,4;12,4;17,1;28,6;2,0;5,5;0,0;;;;;;;;;
2015;Distrito Federal;Urbana;Particular;98,1;94,9;--;1,9;5,0;--;0,0;0,1;--;;;;;;;;;
2015;Distrito Federal;Rural;Pública;85,7;79,2;--;13,2;16,8;--;1,1;4,0;--;;;;;;;;;
2015;Distrito Federal;Rural;Federal;--;65,4;--;--;30,0;--;--;4,6;--;;;;;;;;;
2015;Distrito Federal;Rural;Estadual;85,7;81,2;--;13,2;14,9;--;1,1;3,9;--;;;;;;;;;
2015;Distrito Federal;Rural;Particular;99,6;99,3;--;0,4;0,7;--;0,0;0,0;--;;;;;;;;;
2016;Brasil;Rural;Estadual;87,1;82,4;76,3;9,3;8,6;13,2;3,6;9,0;10,5;;;;;;;;;
2016;Brasil;Urbana;Estadual;87,9;79,3;82,5;9,8;13,2;10,4;2,3;7,5;7,1;;;;;;;;;
2016;Brasil;Rural;Federal;94,7;86,4;92,1;5,3;11,8;4,9;0,0;1,8;3,0;;;;;;;;;
2016;Brasil;Urbana;Federal;94,1;86,3;86,9;5,7;11,5;8,8;0,2;2,2;4,3;;;;;;;;;
2016;Brasil;Rural;Municipal;85,9;83,1;25,0;10,9;7,0;27,8;3,2;9,9;47,2;;;;;;;;;
2016;Brasil;Urbana;Municipal;89,3;85,4;83,1;8,9;10,0;12,8;1,8;4,6;4,1;;;;;;;;;
2016;Brasil;Rural;Particular;95,1;92,4;72,1;4,3;4,0;1,9;0,6;3,6;26,0;;;;;;;;;
2016;Brasil;Urbana;Particular;97,4;95,1;93,8;2,5;4,6;3,1;0,1;0,3;3,1;;;;;;;;;
2016;Brasil;Rural;Pública;86,0;82,6;80,0;10,7;8,7;11,2;3,3;8,7;8,8;;;;;;;;;
2016;Brasil;Urbana;Pública;88,8;79,5;84,3;9,2;13,1;9,8;2,0;7,4;5,9;;;;;;;;;
2016;Norte;Rural;Estadual;84,8;80,8;74,1;9,6;6,4;7,1;5,6;12,8;18,8;;;;;;;;;
2016;Norte;Urbana;Estadual;86,7;77,8;83,2;10,0;10,5;3,5;3,3;11,7;13,3;;;;;;;;;
2016;Norte;Rural;Federal;--;91,2;99,7;--;7,8;0,3;--;1,0;0,0;;;;;;;;;
2016;Norte;Urbana;Federal;91,7;85,8;100,0;8,0;12,6;0,0;0,3;1,6;0,0;;;;;;;;;
2016;Norte;Rural;Municipal;82,0;--;--;12,9;--;--;5,1;--;--;;;;;;;;;
2016;Norte;Urbana;Municipal;87,4;84,5;--;10,1;9,7;--;2,5;5,8;--;;;;;;;;;
2016;Norte;Rural;Particular;91,4;92,5;77,3;6,9;3,0;0,0;1,7;4,5;22,7;;;;;;;;;
2016;Norte;Urbana;Particular;97,8;95,8;73,6;1,9;3,8;12,5;0,3;0,4;13,9;;;;;;;;;
2016;Norte;Rural;Pública;82,4;81,2;95,6;12,4;6,4;1,4;5,2;12,4;3,0;;;;;;;;;
2016;Norte;Urbana;Pública;87,1;78,0;83,4;10,0;10,5;3,4;2,9;11,5;13,2;;;;;;;;;
2016;Nordeste;Rural;Estadual;78,8;81,1;90,7;14,3;9,0;5,0;6,9;9,9;4,3;;;;;;;;;
2016;Nordeste;Urbana;Estadual;77,7;78,7;83,5;17,4;12,6;9,2;4,9;8,7;7,3;;;;;;;;;
2016;Nordeste;Rural;Federal;94,7;87,0;81,2;5,3;10,5;17,9;0,0;2,5;0,9;;;;;;;;;
2016;Nordeste;Urbana;Federal;96,2;83,4;82,0;3,8;13,1;13,1;0,0;3,5;4,9;;;;;;;;;
2016;Nordeste;Rural;Municipal;85,4;81,2;25,0;11,3;7,1;27,8;3,3;11,7;47,2;;;;;;;;;
2016;Nordeste;Urbana;Municipal;84,4;76,6;34,5;12,0;8,2;41,4;3,6;15,2;24,1;;;;;;;;;
2016;Nordeste;Rural;Particular;95,3;89,7;63,2;3,9;4,2;5,3;0,8;6,1;31,5;;;;;;;;;
2016;Nordeste;Urbana;Particular;96,8;94,4;95,1;2,9;5,1;3,4;0,3;0,5;1,5;;;;;;;;;
2016;Nordeste;Rural;Pública;85,2;81,3;84,2;11,4;9,0;10,3;3,4;9,7;5,5;;;;;;;;;
2016;Nordeste;Urbana;Pública;83,3;78,8;82,9;12,9;12,6;10,4;3,8;8,6;6,7;;;;;;;;;
2016;Sudeste;Rural;Estadual;92,1;89,2;86,4;6,2;6,9;13,2;1,7;3,9;0,4;;;;;;;;;
2016;Sudeste;Urbana;Estadual;91,3;81,3;90,8;6,9;12,8;7,0;1,8;5,9;2,2;;;;;;;;;
2016;Sudeste;Rural;Federal;--;84,3;100,0;--;14,4;0,0;--;1,3;0,0;;;;;;;;;
2016;Sudeste;Urbana;Federal;93,7;87,9;86,2;6,1;10,8;9,3;0,2;1,3;4,5;;;;;;;;;
2016;Sudeste;Rural;Municipal;91,9;90,4;--;7,4;4,8;--;0,7;4,8;--;;;;;;;;;
2016;Sudeste;Urbana;Municipal;92,5;88,5;84,1;6,6;9,2;12,9;0,9;2,3;3,0;;;;;;;;;
2016;Sudeste;Rural;Particular;95,6;93,5;--;4,2;4,6;--;0,2;1,9;--;;;;;;;;;
2016;Sudeste;Urbana;Particular;97,4;95,0;94,5;2,5;4,7;3,3;0,1;0,3;2,2;;;;;;;;;
2016;Sudeste;Rural;Pública;91,9;88,7;86,4;7,2;7,6;13,2;0,9;3,7;0,4;;;;;;;;;
2016;Sudeste;Urbana;Pública;92,0;81,5;86,8;6,7;12,8;9,2;1,3;5,7;4,0;;;;;;;;;
2016;Sul;Rural;Estadual;89,0;83,2;86,8;9,4;10,7;6,3;1,6;6,1;6,9;;;;;;;;;
2016;Sul;Urbana;Estadual;85,3;75,9;83,5;13,2;16,8;15,0;1,5;7,3;1,5;;;;;;;;;
2016;Sul;Rural;Federal;--;87,6;100,0;--;10,8;0,0;--;1,6;0,0;;;;;;;;;
2016;Sul;Urbana;Federal;96,3;88,2;92,8;3,7;9,7;3,4;0,0;2,1;3,8;;;;;;;;;
2016;Sul;Rural;Municipal;92,0;86,1;--;7,4;7,7;--;0,6;6,2;--;;;;;;;;;
2016;Sul;Urbana;Municipal;91,8;72,3;91,8;7,7;17,3;4,1;0,5;10,4;4,1;;;;;;;;;
2016;Sul;Rural;Particular;93,0;95,0;--;6,9;4,1;--;0,1;0,9;--;;;;;;;;;
2016;Sul;Urbana;Particular;98,0;95,8;91,7;1,9;3,9;1,2;0,1;0,3;7,1;;;;;;;;;
2016;Sul;Rural;Pública;91,0;83,6;90,2;8,1;10,7;4,7;0,9;5,7;5,1;;;;;;;;;
2016;Sul;Urbana;Pública;88,9;76,3;90,3;10,1;16,6;6,6;1,0;7,1;3,1;;;;;;;;;
2016;Centro-Oeste;Rural;Estadual;91,6;77,8;71,7;6,6;13,6;15,1;1,8;8,6;13,2;;;;;;;;;
2016;Centro-Oeste;Urbana;Estadual;89,2;77,6;76,4;9,0;14,4;17,4;1,8;8,0;6,2;;;;;;;;;
2016;Centro-Oeste;Rural;Federal;--;83,7;87,5;--;13,4;5,1;--;2,9;7,4;;;;;;;;;
2016;Centro-Oeste;Urbana;Federal;95,8;88,1;92,1;4,0;10,7;4,6;0,2;1,2;3,3;;;;;;;;;
2016;Centro-Oeste;Rural;Municipal;90,0;86,8;--;8,1;9,8;--;1,9;3,4;--;;;;;;;;;
2016;Centro-Oeste;Urbana;Municipal;92,6;85,5;--;6,7;7,9;--;0,7;6,6;--;;;;;;;;;
2016;Centro-Oeste;Rural;Particular;97,2;95,9;--;2,5;3,5;--;0,3;0,6;--;;;;;;;;;
2016;Centro-Oeste;Urbana;Particular;98,1;95,7;93,0;1,8;4,0;2,1;0,1;0,3;4,9;;;;;;;;;
2016;Centro-Oeste;Rural;Pública;90,5;78,5;74,1;7,7;13,6;13,6;1,8;7,9;12,3;;;;;;;;;
2016;Centro-Oeste;Urbana;Pública;90,9;77,9;81,7;7,8;14,4;13,1;1,3;7,7;5,2;;;;;;;;;
2016;Rondônia;Urbana;Pública;90,3;83,7;86,9;7,9;8,7;1,5;1,8;7,6;11,6;;;;;;;;;
2016;Rondônia;Rural;Pública;87,4;86,0;68,4;9,8;4,8;26,3;2,8;9,2;5,3;;;;;;;;;
2016;Rondônia;Urbana;Particular;97,9;93,9;73,6;1,9;5,5;12,5;0,2;0,6;13,9;;;;;;;;;
2016;Rondônia;Rural;Particular;95,4;94,7;--;4,2;4,4;--;0,4;0,9;--;;;;;;;;;
2016;Rondônia;Urbana;Municipal;91,1;--;--;7,9;--;--;1,0;--;--;;;;;;;;;
2016;Rondônia;Rural;Municipal;87,6;--;--;10,1;--;--;2,3;--;--;;;;;;;;;
2016;Rondônia;Urbana;Federal;--;85,6;--;--;13,3;--;--;1,1;--;;;;;;;;;
2016;Rondônia;Rural;Federal;--;94,1;--;--;5,2;--;--;0,7;--;;;;;;;;;
2016;Rondônia;Urbana;Estadual;89,7;83,6;86,9;7,9;8,5;1,5;2,4;7,9;11,6;;;;;;;;;
2016;Rondônia;Rural;Estadual;86,4;83,7;68,4;8,4;4,7;26,3;5,2;11,6;5,3;;;;;;;;;
2016;Acre;Urbana;Pública;92,9;79,2;--;5,9;11,2;--;1,2;9,6;--;;;;;;;;;
2016;Acre;Rural;Pública;85,3;88,7;--;10,0;3,4;--;4,7;7,9;--;;;;;;;;;
2016;Acre;Urbana;Particular;99,4;95,4;--;0,6;4,6;--;0,0;0,0;--;;;;;;;;;
2016;Acre;Urbana;Municipal;91,7;--;--;7,3;--;--;1,0;--;--;;;;;;;;;
2016;Acre;Rural;Municipal;83,8;--;--;11,9;--;--;4,3;--;--;;;;;;;;;
2016;Acre;Urbana;Federal;87,8;83,7;--;11,9;12,1;--;0,3;4,2;--;;;;;;;;;
2016;Acre;Urbana;Estadual;93,4;79,0;--;5,2;11,2;--;1,4;9,8;--;;;;;;;;;
2016;Acre;Rural;Estadual;86,9;88,7;--;7,9;3,4;--;5,2;7,9;--;;;;;;;;;
2016;Amazonas;Urbana;Pública;90,2;84,4;--;7,2;6,3;--;2,6;9,3;--;;;;;;;;;
2016;Amazonas;Rural;Pública;84,2;84,9;100,0;9,5;3,8;0,0;6,3;11,3;0,0;;;;;;;;;
2016;Amazonas;Urbana;Particular;98,0;95,4;--;1,8;4,3;--;0,2;0,3;--;;;;;;;;;
2016;Amazonas;Rural;Particular;99,0;98,7;--;0,5;0,6;--;0,5;0,7;--;;;;;;;;;
2016;Amazonas;Urbana;Municipal;88,3;90,6;--;9,0;3,8;--;2,7;5,6;--;;;;;;;;;
2016;Amazonas;Rural;Municipal;83,7;--;--;10,0;--;--;6,3;--;--;;;;;;;;;
2016;Amazonas;Urbana;Federal;89,9;86,4;--;8,7;12,5;--;1,4;1,1;--;;;;;;;;;
2016;Amazonas;Rural;Federal;--;87,9;--;--;7,5;--;--;4,6;--;;;;;;;;;
2016;Amazonas;Urbana;Estadual;92,4;84,3;--;5,1;6,2;--;2,5;9,5;--;;;;;;;;;
2016;Amazonas;Rural;Estadual;89,8;84,8;100,0;5,1;3,8;0,0;5,1;11,4;0,0;;;;;;;;;
2016;Roraima;Urbana;Pública;89,9;79,6;100,0;8,4;12,8;0,0;1,7;7,6;0,0;;;;;;;;;
2016;Roraima;Rural;Pública;88,6;85,0;99,4;8,0;6,2;0,6;3,4;8,8;0,0;;;;;;;;;
2016;Roraima;Urbana;Particular;97,4;96,1;--;2,5;3,8;--;0,1;0,1;--;;;;;;;;;
2016;Roraima;Rural;Particular;--;90,5;--;--;0,0;--;--;9,5;--;;;;;;;;;
2016;Roraima;Urbana;Municipal;93,3;89,3;--;6,1;0,0;--;0,6;10,7;--;;;;;;;;;
2016;Roraima;Rural;Municipal;89,5;--;--;8,6;--;--;1,9;--;--;;;;;;;;;
2016;Roraima;Urbana;Federal;98,8;89,6;100,0;1,2;9,6;0,0;0,0;0,8;0,0;;;;;;;;;
2016;Roraima;Rural;Federal;--;94,5;99,4;--;5,5;0,6;--;0,0;0,0;;;;;;;;;
2016;Roraima;Urbana;Estadual;85,6;78,8;--;11,4;13,0;--;3,0;8,2;--;;;;;;;;;
2016;Roraima;Rural;Estadual;88,2;83,8;--;7,6;6,3;--;4,2;9,9;--;;;;;;;;;
2016;Pará;Urbana;Pública;83,6;73,3;66,8;12,6;11,9;11,6;3,8;14,8;21,6;;;;;;;;;
2016;Pará;Rural;Pública;80,1;73,9;99,6;14,5;9,3;0,0;5,4;16,8;0,4;;;;;;;;;
2016;Pará;Urbana;Particular;97,6;96,4;--;2,1;3,2;--;0,3;0,4;--;;;;;;;;;
2016;Pará;Rural;Particular;88,8;90,8;--;10,1;1,5;--;1,1;7,7;--;;;;;;;;;
2016;Pará;Urbana;Municipal;85,1;70,0;--;11,7;24,6;--;3,2;5,4;--;;;;;;;;;
2016;Pará;Rural;Municipal;80,1;--;--;14,5;--;--;5,4;--;--;;;;;;;;;
2016;Pará;Urbana;Federal;91,8;85,0;--;8,2;11,4;--;0,0;3,6;--;;;;;;;;;
2016;Pará;Rural;Federal;--;100,0;100,0;--;0,0;0,0;--;0,0;0,0;;;;;;;;;
2016;Pará;Urbana;Estadual;78,1;73,2;66,8;15,7;11,9;11,6;6,2;14,9;21,6;;;;;;;;;
2016;Pará;Rural;Estadual;78,6;73,6;96,3;13,6;9,4;0,0;7,8;17,0;3,7;;;;;;;;;
2016;Amapá;Urbana;Pública;84,7;73,2;--;12,5;17,6;--;2,8;9,2;--;;;;;;;;;
2016;Amapá;Rural;Pública;82,6;74,8;--;13,1;10,5;--;4,3;14,7;--;;;;;;;;;
2016;Amapá;Urbana;Particular;98,8;97,2;--;1,1;2,7;--;0,1;0,1;--;;;;;;;;;
2016;Amapá;Rural;Particular;73,7;86,7;77,3;5,3;0,0;0,0;21,0;13,3;22,7;;;;;;;;;
2016;Amapá;Urbana;Municipal;88,3;--;--;9,9;--;--;1,8;--;--;;;;;;;;;
2016;Amapá;Rural;Municipal;84,6;--;--;13,0;--;--;2,4;--;--;;;;;;;;;
2016;Amapá;Urbana;Federal;--;87,3;--;--;12,4;--;--;0,3;--;;;;;;;;;
2016;Amapá;Urbana;Estadual;81,8;72,6;--;14,5;17,8;--;3,7;9,6;--;;;;;;;;;
2016;Amapá;Rural;Estadual;81,7;74,8;--;13,2;10,5;--;5,1;14,7;--;;;;;;;;;
2016;Tocantins;Urbana;Pública;88,8;81,0;71,0;9,8;12,1;11,0;1,4;6,9;18,0;;;;;;;;;
2016;Tocantins;Rural;Pública;87,8;84,2;63,3;9,6;10,6;5,0;2,6;5,2;31,7;;;;;;;;;
2016;Tocantins;Urbana;Particular;98,0;93,2;--;1,9;6,6;--;0,1;0,2;--;;;;;;;;;
2016;Tocantins;Rural;Particular;96,8;92,1;--;3,2;7,9;--;0,0;0,0;--;;;;;;;;;
2016;Tocantins;Urbana;Municipal;92,5;--;--;6,9;--;--;0,6;--;--;;;;;;;;;
2016;Tocantins;Rural;Municipal;89,5;--;--;9,1;--;--;1,4;--;--;;;;;;;;;
2016;Tocantins;Urbana;Federal;--;82,7;--;--;15,5;--;--;1,8;--;;;;;;;;;
2016;Tocantins;Rural;Federal;--;84,6;--;--;14,6;--;--;0,8;--;;;;;;;;;
2016;Tocantins;Urbana;Estadual;83,8;80,9;71,0;13,6;11,9;11,0;2,6;7,2;18,0;;;;;;;;;
2016;Tocantins;Rural;Estadual;82,9;84,1;63,3;11,0;9,6;5,0;6,1;6,3;31,7;;;;;;;;;
2016;Maranhão;Urbana;Pública;87,3;79,3;81,9;9,8;12,4;10,5;2,9;8,3;7,6;;;;;;;;;
2016;Maranhão;Rural;Pública;87,4;81,3;75,0;9,2;8,6;25,0;3,4;10,1;0,0;;;;;;;;;
2016;Maranhão;Urbana;Particular;97,3;95,0;87,5;2,4;4,3;0,0;0,3;0,7;12,5;;;;;;;;;
2016;Maranhão;Rural;Particular;96,7;86,0;63,2;2,4;2,7;5,3;0,9;11,3;31,5;;;;;;;;;
2016;Maranhão;Urbana;Municipal;87,3;76,1;--;9,6;5,4;--;3,1;18,5;--;;;;;;;;;
2016;Maranhão;Rural;Municipal;87,9;80,6;--;9,1;5,6;--;3,0;13,8;--;;;;;;;;;
2016;Maranhão;Urbana;Federal;96,9;89,8;94,1;3,1;7,5;5,4;0,0;2,7;0,5;;;;;;;;;
2016;Maranhão;Rural;Federal;94,7;89,0;--;5,3;8,1;--;0,0;2,9;--;;;;;;;;;
2016;Maranhão;Urbana;Estadual;85,8;79,1;57,2;12,4;12,5;20,9;1,8;8,4;21,9;;;;;;;;;
